source,model,period,n_test,RMSE,MAE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_ref
M4_Flat,M4_Flat_Ridge,late(>=2023-01-01),155,3.574424346073834,2.7857752293647686,-0.08446573553467296,0.5032258064516129,0.7087423775962841,0.9947859598004466
M4_Flat,M4_Flat_XGB,full,257,4.50738885667583,3.3832568870263584,-0.08565092219162929,0.48638132295719844,0.619386149838286,0.9870597427065472
M4_Flat,M4_Flat_XGB,early(<2023-01-01),102,5.659250576812726,4.30816430490863,-0.09068758335595373,0.4215686274509804,0.8043490046593769,0.9583137915197346
M4_Flat,M4_Flat_XGB,late(>=2023-01-01),155,3.551091166388638,2.7746081346135094,-0.07738654419650315,0.5290322580645161,0.24358022325823558,0.9197917504037859
M1_Deep,M1_Deep,full,257,4.249855085312962,3.1153579377589478,-0.023621267048500094,0.49416342412451364,0.3153123122722119,
M1_Deep,M1_Deep,early(<2023-01-01),102,5.2579428624492115,3.8339057294805365,-0.013344950224526864,0.5,0.7003655490140319,
M1_Deep,M1_Deep,late(>=2023-01-01),155,3.428399135960625,2.6425071328840968,-0.04016228368907182,0.49032258064516127,0.15591730236958634,
M2_Deep,M2_Deep_gated,full,257,4.252854074526352,3.106046131444684,-0.024343604416916298,0.47470817120622566,0.7689634672231235,
M2_Deep,M2_Deep_gated,early(<2023-01-01),102,5.347255584501987,3.916876473225898,-0.030557878978345387,0.43137254901960786,0.7938533557906589,
M2_Deep,M2_Deep_gated,late(>=2023-01-01),155,3.3425881474010377,2.572467454917692,-0.014127580527023564,0.5032258064516129,0.42533349123117425,
M2_Deep,M_rs_deep,full,257,4.2473340827514265,3.1037330644893424,-0.02301405767677589,0.4591439688715953,0.9281138079154376,
M2_Deep,M_rs_deep,early(<2023-01-01),102,5.347914711210284,3.9581440712915246,-0.030684910165043933,0.39215686274509803,0.9278233979001103,
M2_Deep,M_rs_deep,late(>=2023-01-01),155,3.3302340041236205,2.541475498722745,-0.010379383956305555,0.5032258064516129,0.6152276832816399,
M3_Deep,M3_Deep_gated,full,257,4.147268403326599,3.018918315220264,0.0010877894461754911,0.5291828793774319,0.16586889151351725,
M3_Deep,M3_Deep_gated,early(<2023-01-01),102,5.183993104200271,3.7818927745184294,0.0009071282122826707,0.5,0.26616067494448625,
M3_Deep,M3_Deep_gated,late(>=2023-01-01),155,3.2914666103808106,2.5168318968434065,0.0013824848369835552,0.5483870967741935,0.20048709694827005,
M3_Deep,M_ship_GNN,full,257,4.167583924094688,3.0129072169698365,-0.0038054124846969017,0.5058365758754864,0.49642770688224347,
