week_ending_friday,gdelt_oil_geo_event_count,gdelt_oil_geo_total_mentions,gdelt_negative_event_count,gdelt_conflict_event_count,gdelt_sanction_event_count,gdelt_key_oil_region_event_count,gdelt_oil_geo_avg_tone,gdelt_oil_geo_avg_goldstein,gdelt_transport_disruption_event_count,gdelt_transport_disruption_total_mentions,gdelt_transport_negative_event_count,gdelt_transport_unrest_conflict_event_count,gdelt_transport_sanction_event_count,gdelt_chokepoint_event_count,gdelt_transport_disruption_avg_tone,gdelt_transport_disruption_avg_goldstein,gdelt_oil_geo_event_count_4w_ma,gdelt_oil_geo_event_count_wow_pct,gdelt_oil_geo_negative_share,gdelt_oil_geo_conflict_share,gdelt_oil_geo_avg_tone_4w_ma,gdelt_transport_event_count_4w_ma,gdelt_transport_event_count_wow_pct,gdelt_transport_negative_share,gdelt_transport_avg_tone_4w_ma,gdelt_combined_event_count
2023-02-10,172444,970257,61078,22791,2233,164917,-2.4995878417478923,0.005178525350801421,1092,5370,482,172,11,135,-3.975035499170197,-0.7324459878168462,177521.25,-5.187514776307323,0.35419034585140685,0.13216464475423906,-2.6666170942417633,943.0,18.181818181818187,0.4413919413919414,-3.782956252936078,173536
2023-02-17,171723,970043,63073,23744,2069,164541,-2.4976474647003664,-0.12576931406561054,1132,5680,418,152,26,261,-3.6694501903679844,-0.11750620358526889,176120.75,-0.41810674769779954,0.3672950041636822,0.13826918933398555,-2.610738029674233,1048.25,3.663003663003672,0.36925795053003535,-3.6318711537615034,172855
2023-02-24,229466,1241495,79906,27245,3724,222742,-2.547465686990668,0.09732608373246972,1098,4993,573,156,9,156,-3.7956656600915974,-1.1583388489382351,188878.0,33.62566458773723,0.34822588095839907,0.1187321869035064,-2.600804731743942,1061.5,-3.0035335689045928,0.5218579234972678,-3.7291047686175305,230564
2023-03-03,185921,1048080,67641,22658,2743,178120,-2.6877144822481602,0.09372999916439172,736,4271,260,92,8,71,-2.902054268614173,-0.16965033354245065,189888.5,-18.976667567308446,0.36381581424368414,0.1218689658510873,-2.558103868921772,1014.5,-32.96903460837887,0.3532608695652174,-3.585551404560988,186657
2023-03-10,182633,1023075,70447,27349,1975,174520,-2.8260068252206443,-0.25082968901983377,1840,10007,858,297,35,183,-3.1808397464856064,-0.5990655783087762,192435.75,-1.7684930696371004,0.38572985166974205,0.14974840253404367,-2.63970861478996,1201.5,150.0,0.46630434782608693,-3.3870024663898404,184473
2023-03-17,189776,1052698,69924,24102,2102,181427,-2.597697448617166,0.005267337206594744,828,4279,312,103,15,117,-3.281355042184677,-0.28659367875025776,196949.0,3.9111223053883926,0.3684554422055476,0.12700236067785178,-2.6647211107691597,1125.5,-55.00000000000001,0.37681159420289856,-3.2899786793440136,190604
2023-03-24,184395,1007065,65305,20976,2176,176504,-2.603401753821575,0.21146624244098824,673,3152,246,91,2,65,-2.87752684008998,-0.42552947156572857,185681.25,-2.835448107242222,0.35415819300957185,0.11375579598145286,-2.6787051274768867,1019.25,-18.71980676328503,0.3655274888558692,-3.0604439743436096,185068
2023-03-31,234370,1269304,87192,28176,2636,222475,-2.6535474184712955,-0.01660810268227998,1235,6060,523,204,29,165,-3.0170315438301754,-0.7659741000730226,197793.5,27.102144852083843,0.3720271365789137,0.12022016469684686,-2.67016336153267,1144.0,83.50668647845467,0.4234817813765182,-3.0891882931476102,235605
2023-04-07,236588,1264856,87324,28703,2685,225510,-2.6267398231889856,0.014189222420458518,992,4455,335,133,17,239,-2.8789014069745478,0.479016102182175,211282.25,0.9463668558262528,0.3690973337616447,0.12132060797673593,-2.6203466110247553,932.0,-19.67611336032389,0.3377016129032258,-3.0137037082698455,237580
2023-04-14,221426,1191525,80021,26326,3041,211889,-2.7527356050288923,0.08619106409773224,1127,5274,404,114,9,145,-3.158689264688309,0.10966870633406375,219194.75,-6.408609058785741,0.3613893580699647,0.11889299359605467,-2.659106150127687,1006.75,13.608870967741925,0.35847382431233366,-2.9830372638957536,222553
