date,emodnet_mean_rotterdam,emodnet_mean_suez,emodnet_max_rotterdam,emodnet_max_suez,emodnet_std_rotterdam,emodnet_std_suez,emodnet_sum_rotterdam,emodnet_sum_suez,emodnet_n_valid_pixels_rotterdam,emodnet_n_valid_pixels_suez
2020-11-01,71.74541473388672,0.11578308045864105,2193.7890625,0.7563609480857849,251.24203491210938,0.14061012864112854,10690.06640625,9.725778579711914,149,84
2020-12-01,70.1958236694336,0.11130311340093613,2558.74169921875,1.8149926662445068,259.52978515625,0.18438869714736938,11652.5068359375,11.686826705932617,166,105
2021-01-01,69.0594711303711,0.6024009585380554,2185.570068359375,2.6276650428771973,243.72784423828125,0.5392391681671143,9875.5048828125,91.56494903564453,143,152
2021-02-01,64.5202865600586,0.5104138851165771,2067.8369140625,1.6828089952468872,222.50621032714844,0.42329269647598267,9936.1240234375,71.9683609008789,154,141
2021-03-01,57.04342269897461,0.514300525188446,1919.665771484375,2.1765058040618896,199.50413513183594,0.4437461793422699,10210.7724609375,68.40196990966797,179,133
2021-04-01,74.15792846679688,2.5704257488250732,2341.18896484375,32.79621124267578,262.0740966796875,3.0801661014556885,10678.7421875,413.83856201171875,144,161
2021-05-01,64.63060760498047,1.8604159355163574,2469.058837890625,9.20138168334961,239.54954528808594,1.8325088024139404,9694.5908203125,292.0852966308594,150,157
2021-06-01,79.24806213378906,3.193150281906128,2895.826416015625,11.520219802856445,293.6534729003906,2.6715939044952393,10381.49609375,507.71087646484375,131,159
2021-07-01,70.03199005126953,2.3690547943115234,3302.893310546875,11.431307792663574,293.7364196777344,2.23471999168396,11485.24609375,371.9416198730469,164,157
2021-08-01,72.61327362060547,4.511122703552246,2534.431396484375,15.829571723937988,270.878662109375,3.977459192276001,10020.6318359375,726.290771484375,138,161
2021-09-01,61.956722259521484,1.621843934059143,3058.39794921875,4.64262056350708,268.3096923828125,1.1744128465652466,9789.162109375,251.38580322265625,158,155
2021-10-01,74.09041595458984,0.9831592440605164,2874.08056640625,5.0119194984436035,282.07470703125,0.9214242100715637,10446.7490234375,152.38967895507812,141,155
2021-11-01,68.63480377197266,0.9485915899276733,2701.769287109375,9.60582160949707,258.6998291015625,1.0687514543533325,9608.873046875,147.0316925048828,140,155
2021-12-01,76.0210189819336,0.863608717918396,3258.5947265625,3.6267473697662354,307.7007141113281,0.8277342915534973,11555.1943359375,127.8140869140625,152,148
2022-01-01,69.19746398925781,0.43179965019226074,3067.197021484375,1.8150255680084229,277.68817138671875,0.35124412178993225,11417.5810546875,61.74734878540039,165,143
2022-02-01,66.17166900634766,0.8522446155548096,2744.297119140625,3.3606443405151367,261.64801025390625,0.7653524279594421,10587.466796875,118.46200561523438,160,139
2022-03-01,77.57250213623047,0.9729069471359253,2596.13720703125,3.0127885341644287,276.2071533203125,0.7978228330612183,10394.71484375,133.2882537841797,134,137
2022-04-01,73.90230560302734,2.6648306846618652,2877.334228515625,10.790020942687988,293.00738525390625,2.570711135864258,12341.685546875,418.37841796875,167,157
2022-05-01,76.62737274169922,2.6964194774627686,2754.203857421875,10.320728302001953,295.4462585449219,2.4812233448028564,11417.478515625,412.55218505859375,149,153
2022-06-01,63.350502014160156,3.379861354827881,2510.6884765625,12.487055778503418,258.36029052734375,2.889298915863037,11149.6884765625,520.4986572265625,176,154
2022-07-01,68.48855590820312,5.747056484222412,2076.278076171875,60.922149658203125,250.87908935546875,6.422386646270752,11506.0771484375,948.2643432617188,168,165
2022-08-01,59.77953338623047,5.388391494750977,2505.285400390625,155.011474609375,245.0709228515625,12.203756332397461,11417.890625,910.6381225585938,191,169
2022-09-01,81.70915985107422,3.7191262245178223,2990.29638671875,18.696147918701172,310.5011291503906,3.3907179832458496,12419.7919921875,613.6558227539062,152,165
2022-10-01,76.92644500732422,1.2295244932174683,1850.9078369140625,3.734605073928833,255.05970764160156,1.0535544157028198,11154.333984375,189.34677124023438,145,154
2022-11-01,64.04524230957031,0.4814284145832062,1794.8402099609375,1.4113373756408691,239.00453186035156,0.36196833848953247,10823.646484375,71.73283386230469,169,149
2022-12-01,74.76069641113281,0.7374539375305176,2430.5703125,2.0478906631469727,270.6803283691406,0.5203338265419006,11587.908203125,110.61808776855469,155,150
2023-01-01,71.99954223632812,0.6381744146347046,1979.4876708984375,1.7908293008804321,244.652099609375,0.5031838417053223,10799.931640625,89.34442138671875,150,140
2023-02-01,63.75391387939453,0.2815386950969696,2526.92138671875,0.8468677401542664,254.78623962402344,0.20612449944019318,10774.4111328125,35.75541305541992,169,127
2023-03-01,68.75471496582031,1.2430531978607178,2796.0703125,3.4967339038848877,275.0416259765625,0.9866898059844971,11688.3017578125,185.2149200439453,170,149
