date,P_t,P_next_actual,P_hat_M0,r_hat_intact,P_hat_intact,r_hat_gfw,P_hat_gfw,r_hat_portwatch,P_hat_portwatch,r_hat_shipping,P_hat_shipping
2021-12-24,75.24,77.24,75.24,0.007973128120478234,75.8422960609161,0.007956229559640093,75.84101444609075,0.00822922054174735,75.86172118535637,0.008185057468044321,75.85837097255082
2021-12-31,77.24,82.28,77.24,0.00953667959370863,77.98013674581445,0.009507108318707436,77.97783080784103,0.00964809802799571,77.98882565459948,0.009577273137997111,77.98330230019917
2022-01-07,82.28,87.17,82.28,0.006930025510716975,82.85218282989213,0.006909682356674829,82.85049737231792,0.0071256134164267015,82.86838929965839,0.007113520878142654,82.86738721654713
2022-01-14,87.17,89.75,87.17,0.009808282336120189,88.02919469527764,0.00984085368879517,88.03206197191906,0.009815086265629158,88.02979364175067,0.00986165476354034,88.0338931524653
2022-01-21,89.75,91.47,89.75,0.007748741877063869,90.44815098610458,0.007606151872301403,90.43525490327282,0.007830339024274768,90.4555315983099,0.007596887154292298,90.4344170500193
2022-01-28,91.47,96.86,91.47,0.006253249565889907,92.04377685301577,0.006449841164436365,92.06187366502587,0.006208456245733851,92.03965399898968,0.006350056644609803,92.05268777348039
2022-02-04,96.86,97.5,96.86,0.009492993983446607,97.78386960351615,0.009525319889595374,97.7870306067987,0.009385545309660293,97.77336342085738,0.00950521523723602,97.78506465230559
2022-02-11,97.5,96.18,97.5,0.008585459272418272,98.34068595264958,0.008604258387146513,98.34253468786449,0.008482691823836874,98.33058025053998,0.008488483121871448,98.3311497138851
2022-02-18,96.18,98.56,96.18,0.008462028999263738,96.9973312122178,0.00836051743816335,96.98748536144615,0.008438357375594396,96.99503515507222,0.008127926867626867,96.96492961012027
2022-02-25,98.56,123.86,98.56,0.006767912046554914,99.22930776456866,0.006843782702242951,99.2368366428191,0.006750753999945847,99.22760519808747,0.0066337288574710995,99.2159937528805
2022-03-04,123.86,118.11,123.86,0.002992488239794866,124.23120472926337,0.0029765369531498664,124.22922309751131,0.002889096995873662,124.21836097444994,0.0027909091203477607,124.20616483625078
2022-03-11,118.11,114.32,118.11,0.008408240639808606,119.10728412890387,0.00828508109063042,119.09261583277564,0.00834672880753018,119.09995784694821,0.008178636395142491,119.07993973021236
2022-03-18,114.32,122.67,114.32,0.0033557577440842534,114.7042746309749,0.0033085911467533036,114.69886454822985,0.0033107187863434806,114.69910858633462,0.0031271901422889603,114.6780599460348
2022-03-25,122.67,106.13,122.67,0.004172440258606025,123.18290253000153,0.004094510950904795,123.17330334572047,0.0042458601567533505,123.19194693817445,0.003924451608623314,123.15235835576294
2022-04-01,106.13,101.26,106.13,0.004727218231337704,106.632887363564,0.004634078730810898,106.62295609219923,0.004691698252637877,106.62909983294303,0.004275126176414623,106.58469037795145
2022-04-08,101.26,110.83,101.26,0.004930707280999702,101.7605163550516,0.0049627282307002085,101.76377487559749,0.004885743582433821,101.75594092873314,0.0046308525163205605,101.73000755369965
2022-04-15,110.83,105.15,110.83,0.006640073101387867,111.56836799764665,0.0065983003395740925,111.56370757612434,0.00652182212283875,111.5551757089717,0.00618049641699514,111.5171055574126
2022-04-22,105.15,108.36,105.15,0.007421401546895856,105.93326323314892,0.007393871123727802,105.93034688572885,0.007483842841998434,105.93987804981634,0.007343655913455871,105.92502770463884
2022-04-29,108.36,113.86,108.36,0.005798458248988447,108.99014610824051,0.005870375093152247,108.99798461745061,0.005675352640883868,108.97672963586488,0.00562113202122827,108.9708210102421
2022-05-06,113.86,112.12,113.86,0.007732274219217405,114.7438092669722,0.007789645355607444,114.75039243854378,0.007766874172615124,114.74777946610949,0.007666872531665758,114.73630507360619
2022-05-13,112.12,113.63,112.12,0.0065383715700499945,112.85548403420518,0.006614547944837235,112.86408128330325,0.006474871658660009,112.84831794849445,0.006390984717483172,112.83885184533158
2022-05-20,113.63,121.19,113.63,0.006264861919632492,114.34411082714513,0.006223764142131105,114.33941163488359,0.006166253279057288,114.33283606572226,0.0059985676591698955,114.3136657005753
2022-05-27,121.19,125.68,121.19,0.006246349733955658,121.94936428269989,0.006161065792595011,121.93896440374508,0.0061004708096269455,121.93157573813417,0.005919095441230926,121.90946235913732
2022-06-03,125.68,127.44,125.68,0.0067240470004739095,126.52792577865749,0.006639776610878612,126.51726367031375,0.006757401146492592,126.53214607995123,0.006639329432159724,126.51720709449853
2022-06-10,127.44,119.22,127.44,0.008082171701025653,128.47416548365123,0.008037878875575721,128.46847512588658,0.008264150240716917,128.49754715209045,0.00814643797594461,128.48242230500492
2022-06-17,119.22,117.36,119.22,0.002674493584275739,119.53927989081198,0.002567833860182722,119.52653054413352,0.0026503347339887906,119.53639199412996,0.002316425957949092,119.4964844069046
2022-06-24,117.36,119.21,117.36,0.003088744403526328,117.72305544729896,0.0030529575732784198,117.71884258768031,0.003134451828322532,117.72843638797616,0.0028587673480712505,117.695984958563
2022-07-01,119.21,113.95,119.21,0.004025520889257256,119.69084953078396,0.003881331351197781,119.67359260664404,0.0040877412615401565,119.6982969716895,0.0038097091596782096,119.66502162861431
2022-07-08,113.95,112.26,113.95,0.006905912478879062,114.7396522232253,0.006857946228246425,114.73414872430145,0.006903594189205831,114.73938622378279,0.006699928148283463,114.7160200867778
2022-07-15,112.26,106.77,112.26,0.0014546087049288614,112.42341319553003,0.0013747959698616752,112.41444073350043,0.0015799708723110706,112.43750772171444,0.001309420681053719,112.40709184719171
