period_id,label,kind,n_weeks,node_id,mean_shap_abs,mean_shap_signed,share_shipping,mean_node_attention
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,hormuz,0.00016498713,-2.648385e-05,0.16272102,0.06347985961474473
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P004,0.00013444178,4.6115394e-05,0.13259521,0.04884156282059843
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,suez,6.8607886e-05,-9.573875e-06,0.067665555,0.05318046116735783
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P006,6.5969376e-05,1.17863965e-05,0.06506328,0.06847992539405819
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,cape,6.543156e-05,-3.9116435e-06,0.06453285,0.059006674448028165
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P003,5.200135e-05,3.846635e-06,0.051287107,0.076833794824779
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P011,5.1632054e-05,1.39106205e-05,0.050922886,0.06322628748603161
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P009,5.0009912e-05,-2.8201905e-06,0.049323022,0.07393785379827016
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P001,4.9642924e-05,4.3102256e-07,0.048961073,0.06903226859867569
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,malacca,4.883887e-05,-6.014965e-06,0.048168063,0.0393181170802563
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,mandeb,4.676291e-05,-1.0962471e-05,0.046120618,0.04561317490879441
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,panama,4.4208362e-05,-6.43119e-06,0.043601155,0.052620331989601206
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P005,4.308176e-05,4.082075e-06,0.042490028,0.0686182568315416
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P008,3.8807575e-05,2.017439e-05,0.03827455,0.04625511099584397
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P002,3.807777e-05,8.254309e-06,0.03755477,0.05718324636109168
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P010,2.5955831e-05,4.373848e-06,0.025599325,0.05361352581530805
event_eu_ru_oil_ban,EU RU oil ban announced,event,16,P007,2.54693e-05,3.451388e-06,0.025119478,0.06075954902917142
event_opec_plus,OPEC+ surprise cut,event,16,hormuz,0.00012332361,1.0703444e-05,0.13460568,0.16096687456592915
event_opec_plus,OPEC+ surprise cut,event,16,P004,0.000121886485,-2.3852033e-06,0.13303708,0.04756484134122726
event_opec_plus,OPEC+ surprise cut,event,16,suez,9.111266e-05,-1.889958e-06,0.09944796,0.08974028867669398
event_opec_plus,OPEC+ surprise cut,event,16,malacca,7.068034e-05,5.804692e-06,0.07714642,0.06134966411627825
event_opec_plus,OPEC+ surprise cut,event,16,mandeb,6.965961e-05,-3.7168782e-06,0.07603231,0.07439097017049785
event_opec_plus,OPEC+ surprise cut,event,16,P008,5.878639e-05,2.0760019e-05,0.06416437,0.041500740917399484
