date,P_next_actual,P_hat_M0,P_hat_intact,P_hat_hormuz,P_hat_suez,P_hat_malacca,P_hat_mandeb,P_hat_panama,P_hat_cape,P_hat_joint4
2022-07-01,113.95,119.21,119.69084953078396,119.70554408331924,119.68420991773901,119.69817075191872,119.69086057373467,119.6892985010312,119.68805327143194,119.69548829807107
2022-07-08,112.26,113.95,114.7396522232253,114.74818319580753,114.73753819637145,114.74401869191155,114.73897697624727,114.73537293183367,114.73096249280381,114.73651191487366
2022-07-15,106.77,112.26,112.42341319553003,112.44224250443958,112.42318485219187,112.42927224789672,112.42405609378838,112.42274546419544,112.42088720501594,112.43920707915156
2022-07-22,111.51,106.77,106.65280468087306,106.65439162304673,106.6504372229324,106.65576307973268,106.65152530282417,106.64754186294358,106.65311970679883,106.65100841362018
2022-07-29,100.31,111.51,111.31566587556237,111.31706708020174,111.31440123801869,111.32022114203565,111.31874094917387,111.31866633853551,111.31385989934736,111.31701317626698
2022-08-05,103.7,100.31,100.20162919431318,100.20608342531635,100.20102804057608,100.20598887725406,100.20061358135312,100.198714618899,100.20164101230189,100.2046539160355
2022-08-12,96.45,103.7,103.4324423543496,103.43681469978934,103.43184411961286,103.43663412507279,103.43361341477407,103.4297870289245,103.4332581345668,103.43801466978256
2022-08-19,101.13,96.45,96.38064079098264,96.38443377397971,96.37953523658265,96.38529237070858,96.38195623070648,96.38130170098988,96.37777441293582,96.3815131000065
2022-08-26,93.09,101.13,101.04702160322725,101.05095034524945,101.04709741449838,101.051875581873,101.04721819289098,101.04270712211463,101.04769912910464,101.051878390804
2022-09-02,91.68,93.09,92.86948874142844,92.870776887655,92.86652345773335,92.87178223894466,92.87026753312315,92.8711560584638,92.86380067196029,92.86276988356981
2022-09-09,89.43,91.68,91.59437391614175,91.59517252005594,91.59545087425145,91.59700529977232,91.59381830969554,91.59469181496472,91.59338915063796,91.5947437353713
2022-09-16,84.29,89.43,89.1983525676097,89.2016833744604,89.19551261180544,89.2021825265276,89.19876531414303,89.19858197399195,89.19323936834661,89.19361103202056
2022-09-23,88.9,84.29,83.95107486386878,83.95228371133842,83.95098902301305,83.95327356249149,83.9511816416411,83.94680770255832,83.95077586065791,83.95215154595915
2022-09-30,98.88,88.9,88.49349470842326,88.49740406583079,88.49181890203425,88.49729564394129,88.49533703779589,88.49551842671198,88.48496473919796,88.48833239952617
2022-10-07,92.22,98.88,98.72594088139113,98.72630051058941,98.7256144411878,98.73011355320122,98.72481968383548,98.72401159646684,98.72509826366615,98.72386330592049
2022-10-14,91.82,92.22,91.9705162733854,91.97476909276168,91.97050571290248,91.9747432876757,91.97085712437446,91.970129645817,91.96991189077556,91.97445388891103
2022-10-21,94.64,91.82,91.33096147089256,91.3295389513236,91.326985040658,91.33447690322934,91.33091390220495,91.32973630193851,91.31707515616455,91.31261491481689
2022-10-28,99.53,94.64,93.91632300380905,93.91616402936047,93.91416716627262,93.92087242694393,93.91153505987467,93.91513778686215,93.91142335638999,93.90492236483452
2022-11-04,96.37,99.53,99.16149612763007,99.15589164845316,99.15961389396766,99.16692517004601,99.1609845762699,99.1598858052519,99.15796599534784,99.15217169442603
2022-11-11,88.93,96.37,95.5993195340866,95.59607166054003,95.59760973363448,95.6021331100427,95.59988374432055,95.59999953082833,95.59681644086939,95.59256211322294
2022-11-18,83.4,88.93,88.2631981625325,88.25818127567442,88.2609288350675,88.2669331939551,88.26026300648863,88.26231012615445,88.25876463692865,88.24812610547201
2022-11-25,86.54,83.4,82.70475283195827,82.70327211332965,82.70295725571279,82.70836102478886,82.70269692646038,82.70414831950004,82.69933853036943,82.69381904422384
2022-12-02,76.37,86.54,85.99425744730614,85.99405376361045,85.99149345093726,85.9984368019967,85.99457737031521,85.9936682588788,85.98650794262954,85.98370314366186
2022-12-09,80.2,76.37,75.77952366928007,75.7781176024341,75.77852583291082,75.782627680639,75.77757797100854,75.78036818334485,75.77951176595917,75.77506060320675
2022-12-16,82.45,80.2,79.60246759977898,79.59803018230906,79.59914724579055,79.6052797758126,79.60227658765156,79.6023896154442,79.59577537409209,79.58757480047915
2022-12-23,82.82,82.45,82.26759137442677,82.26299510398991,82.26662946467717,82.27062663495197,82.26510940750453,82.26899381300089,82.26684744385845,82.25911718726842
2022-12-30,76.41,82.82,82.30366663715637,82.30396381442367,82.30055493070547,82.30741915303594,82.30306437592812,82.3005961800762,82.2994098224075,82.29583545879811
2023-01-06,83.43,76.41,75.83491618804435,75.8336365968128,75.83496626557775,75.83728930387302,75.83505372501116,75.83436047854353,75.83194976054676,75.83078839264915
