date,f_x,e_f_bg,sum_phi,residual,abs_residual,rel_residual,checkpoint_week
2022-01-07,0.006930025294423103,0.0008847051067277789,0.006012928206473589,3.239198122173548e-05,3.239198122173548e-05,0.005358182302046325,2021-10-22
2022-01-14,0.009808282367885113,0.0009196034516207874,0.008914844132959843,-2.61652166955173e-05,2.61652166955173e-05,0.002943653101374801,2021-10-22
2022-01-21,0.007748741656541824,0.0002156621776521206,0.00752770621329546,5.373265594244003e-06,5.373265594244003e-06,0.000713288433557272,2022-01-21
2022-01-28,0.006253249477595091,0.0002035191864706576,0.006037163082510233,1.2567208614200354e-05,1.2567208614200354e-05,0.0020773137373578977,2022-01-21
2022-02-04,0.009492994286119938,0.00021729071158915758,0.009272211231291294,3.4923432394862175e-06,3.4923432394862175e-06,0.000376503997393309,2022-01-21
2022-02-11,0.008585459552705288,0.00017639074940234423,0.008416278287768364,-7.209484465420246e-06,7.209484465420246e-06,0.0008573453328310448,2022-01-21
2022-02-18,0.008462028577923775,0.000183428346645087,0.00827886164188385,-2.614106051623821e-07,2.614106051623821e-07,3.157662915143735e-05,2022-01-21
2022-02-25,0.006767911836504936,0.00015474928659386933,0.006596762221306562,1.6400328604504466e-05,1.6400328604504466e-05,0.0024799486903944487,2022-01-21
2022-03-04,0.0029924882110208273,0.00020883840625174344,0.0027947677299380302,-1.1117925168946385e-05,1.1117925168946385e-05,0.003993995656329371,2022-01-21
2022-03-11,0.008408240973949432,0.00019339361460879445,0.008221953175961971,-7.105816621333361e-06,7.105816621333361e-06,0.0008649957400969049,2022-01-21
2022-03-18,0.003355757798999548,0.0001832065754570067,0.0031627060379832983,9.845185559242964e-06,9.845185559242964e-06,0.003103229493629644,2022-01-21
2022-03-25,0.004172440152615309,0.00018665066454559565,0.004000150132924318,-1.4360644854605198e-05,1.4360644854605198e-05,0.003602952154916335,2022-01-21
2022-04-01,0.004727218300104141,0.00017020877567119896,0.0045561110600829124,8.984643500298262e-07,8.984643500298262e-07,0.00019716052240123494,2022-01-21
2022-04-08,0.00493070762604475,0.00016360162408091128,0.00477101095020771,-3.904948243871331e-06,3.904948243871331e-06,0.0008191426938766892,2022-01-21
2022-04-15,0.006640072911977768,0.00016540943761356175,0.006476304028183222,-1.6405538190156221e-06,1.6405538190156221e-06,0.00025338016280067614,2022-01-21
