date,rs:P001,rs:P002,rs:P003,rs:P004,rs:P005,rs:P006,rs:P007,rs:P008,rs:P009,rs:P010,rs:P011,sh:P001,sh:P002,sh:P003,sh:P004,sh:P005,sh:P006,sh:P007,sh:P008,sh:P009,sh:P010,sh:P011,sh:hormuz,sh:suez,sh:malacca,sh:mandeb,sh:panama,sh:cape
2022-07-15,0.03709209,0.034728758,0.03757793,0.036740452,0.035759434,0.038498025,0.03512082,0.036352955,0.03461011,0.03671297,0.037523996,0.0358872,0.035617474,0.035638038,0.035399098,0.035819713,0.035739936,0.036029536,0.036226165,0.035324093,0.03634956,0.0361903,0.03415262,0.033940766,0.033701815,0.034603804,0.03402476,0.034637548
2022-07-22,0.03621318,0.036914937,0.03674974,0.035656136,0.036731433,0.035285003,0.037220202,0.036131334,0.036293745,0.036884774,0.037861597,0.036003187,0.035555575,0.035480917,0.035492178,0.035613254,0.03588718,0.036196966,0.03578293,0.035487708,0.035800196,0.036093522,0.03404162,0.033753328,0.033926234,0.034509268,0.03418105,0.034252826
2022-07-29,0.0371119,0.0373772,0.03694059,0.03538745,0.036880203,0.036608316,0.038103092,0.035888128,0.03672895,0.037131965,0.039043438,0.035557084,0.03562948,0.0353543,0.035188004,0.035328694,0.03573728,0.0363342,0.03581845,0.03505737,0.03589634,0.035857767,0.033487715,0.03314334,0.033022404,0.034147352,0.03366175,0.033577293
2022-08-05,0.03582015,0.040269352,0.039674323,0.037178375,0.036869567,0.038982514,0.04058395,0.039660506,0.037591323,0.040373288,0.03876234,0.033836983,0.03337566,0.03325668,0.03375169,0.03350559,0.03388349,0.035001244,0.03395115,0.033205334,0.03465142,0.03420206,0.033797354,0.03317052,0.033623952,0.034120996,0.033560246,0.03333997
2022-08-12,0.03569744,0.037627727,0.037054103,0.035583206,0.036411937,0.035884753,0.036675956,0.036115672,0.03604244,0.03705634,0.03877321,0.03552448,0.03508141,0.035385042,0.034715943,0.035719093,0.035575468,0.036075495,0.035502937,0.03535574,0.03562223,0.035941005,0.0339715,0.034413207,0.033699166,0.034719385,0.03466238,0.03511271
2022-08-19,0.03634133,0.040920284,0.04018554,0.03598276,0.0367302,0.039124127,0.041424934,0.040109582,0.037928693,0.04046537,0.039819557,0.034352716,0.034021668,0.033759333,0.034382004,0.03369286,0.034537345,0.03563483,0.03440273,0.03352098,0.03517526,0.034273427,0.03255588,0.031469382,0.032780327,0.032607585,0.03200866,0.031792644
2022-08-26,0.036002345,0.038904708,0.038404543,0.036145188,0.037226867,0.03712467,0.039421357,0.03721382,0.037419543,0.038951155,0.038694646,0.035113618,0.034996472,0.034821056,0.035074275,0.03468888,0.03534703,0.03467705,0.035160184,0.03453873,0.03543978,0.034891546,0.0332629,0.032840975,0.033555433,0.033549335,0.03336902,0.033164904
2022-09-02,0.034512028,0.041731726,0.040861502,0.03595311,0.036742553,0.03822174,0.041902613,0.040246695,0.037256666,0.0416541,0.03862923,0.033828113,0.03343997,0.03357099,0.033707924,0.03345082,0.033760373,0.03478864,0.034030497,0.03338614,0.034398824,0.0340269,0.033543758,0.03293872,0.033805944,0.033728,0.033119902,0.03276251
2022-09-09,0.03437419,0.039287552,0.04030365,0.034733467,0.03631398,0.035630986,0.03771095,0.038774736,0.036562175,0.039453607,0.037495367,0.03537991,0.034329362,0.034388676,0.034559164,0.034645025,0.035420917,0.034425143,0.034513574,0.034668274,0.035220534,0.035253525,0.034328137,0.03417014,0.034528095,0.034354042,0.03442912,0.034745704
2022-09-16,0.034877304,0.04146164,0.040895328,0.036719598,0.037751764,0.037482042,0.04155257,0.039240036,0.037554633,0.041748896,0.038966756,0.03400025,0.033467144,0.033248365,0.033600904,0.03339207,0.03398041,0.033277042,0.034109462,0.033147715,0.0346914,0.03413495,0.033334993,0.03310394,0.033754047,0.033898696,0.033316486,0.03329157
