emb_row,site_id,site_name,site_type,month,year,obs_month_start,mean_cloud,n_scenes,patch_px,filename,sensor,emb_model,emb_dim,emb_ok
110,P002,Fujairah,terminal,2021_04,2021,2021-04-01,11.0217945,6,320,S2_P002_Fujairah_2021_04.tif,S2,Prithvi-EO-2.0-300M,1024,1
111,P002,Fujairah,terminal,2021_05,2021,2021-05-01,38.0120448,5,320,S2_P002_Fujairah_2021_05.tif,S2,Prithvi-EO-2.0-300M,1024,1
112,P002,Fujairah,terminal,2021_06,2021,2021-06-01,19.768510333333328,6,320,S2_P002_Fujairah_2021_06.tif,S2,Prithvi-EO-2.0-300M,1024,1
113,P002,Fujairah,terminal,2021_07,2021,2021-07-01,29.112946799999996,5,320,S2_P002_Fujairah_2021_07.tif,S2,Prithvi-EO-2.0-300M,1024,1
114,P002,Fujairah,terminal,2021_08,2021,2021-08-01,13.927250666666666,6,320,S2_P002_Fujairah_2021_08.tif,S2,Prithvi-EO-2.0-300M,1024,1
115,P002,Fujairah,terminal,2021_09,2021,2021-09-01,8.301389333333333,6,320,S2_P002_Fujairah_2021_09.tif,S2,Prithvi-EO-2.0-300M,1024,1
116,P002,Fujairah,terminal,2021_10,2021,2021-10-01,0.4294241666666667,6,320,S2_P002_Fujairah_2021_10.tif,S2,Prithvi-EO-2.0-300M,1024,1
117,P002,Fujairah,terminal,2021_11,2021,2021-11-01,5.1662018,5,320,S2_P002_Fujairah_2021_11.tif,S2,Prithvi-EO-2.0-300M,1024,1
118,P002,Fujairah,terminal,2021_12,2021,2021-12-01,11.1868335,4,320,S2_P002_Fujairah_2021_12.tif,S2,Prithvi-EO-2.0-300M,1024,1
119,P002,Fujairah,terminal,2022_01,2022,2022-01-01,11.424508,5,320,S2_P002_Fujairah_2022_01.tif,S2,Prithvi-EO-2.0-300M,1024,1
120,P002,Fujairah,terminal,2022_02,2022,2022-02-01,7.235115166666667,6,320,S2_P002_Fujairah_2022_02.tif,S2,Prithvi-EO-2.0-300M,1024,1
121,P002,Fujairah,terminal,2022_03,2022,2022-03-01,9.2280296,5,320,S2_P002_Fujairah_2022_03.tif,S2,Prithvi-EO-2.0-300M,1024,1
