source,model,period,n_test,RMSE,MAE,skill_vs_M0,DirAcc,DM_p_vs_M0,DM_p_vs_ref
Deep_all,M_rs_deep,early(<2023-01-01),102,5.347914711210284,3.9581440712915246,-0.030684910165043933,0.39215686274509803,0.9822998986004967,0.5291266272425146
Deep_all,M_rs_deep,late(>=2023-01-01),155,3.3302340041236205,2.541475498722745,-0.010379383956305555,0.5032258064516129,0.8633766312309957,0.3144952117935207
Deep_all,M3_Deep_gated,full,257,4.145273080331479,3.012040366495634,0.0015683834926629725,0.5369649805447471,0.4226334042484883,0.05767563216307592
Deep_all,M3_Deep_gated,early(<2023-01-01),102,5.171573990532151,3.757558528275771,0.0033006205820326207,0.5098039215686274,0.38159425993912977,0.09728678946225
Deep_all,M3_Deep_gated,late(>=2023-01-01),155,3.3001438296807533,2.521441318098383,-0.0012501480290174616,0.5548387096774193,0.5434482908461209,0.18048630297856294
Deep_all,M2_Deep_gated,full,257,4.252854074526352,3.106046131444684,-0.024343604416916298,0.47470817120622566,0.9483793679970741,0.4851151915899926
Deep_all,M2_Deep_gated,early(<2023-01-01),102,5.347255584501987,3.916876473225898,-0.030557878978345387,0.43137254901960786,0.908737953510289,0.5243565822006977
Deep_all,M2_Deep_gated,late(>=2023-01-01),155,3.3425881474010377,2.572467454917692,-0.014127580527023564,0.5032258064516129,0.8768884212918872,0.3881503994258576
Deep_all,M4_Deep_gated,full,257,4.179645672391654,3.0352921305550105,-0.006710608503551541,0.49416342412451364,0.9462150580553539,0.13259995924452772
Deep_all,M4_Deep_gated,early(<2023-01-01),102,5.259338869492661,3.8370871538385556,-0.013613997782662146,0.46078431372549017,0.9948902134565477,0.2687947602476035
Deep_all,M4_Deep_gated,late(>=2023-01-01),155,3.2806959600048864,2.5076592765232584,0.0046502561341836834,0.5161290322580645,0.24292821150338018,0.10026425298635355
Deep_all,M4_Deep_Concat,full,257,4.496450109086841,3.1697751305029165,-0.08301621243278134,0.45136186770428016,0.9228186090562246,0.8302171327880484
Deep_all,M4_Deep_Concat,early(<2023-01-01),102,5.85152000645794,4.134827453723323,-0.12774299850794923,0.38235294117647056,0.9175983290928421,0.8517865852082809
Deep_all,M4_Deep_Concat,late(>=2023-01-01),155,3.3151977799138717,2.5347084403836813,-0.005817454994177629,0.4967741935483871,0.69242994921007,0.2394758965423841
