date,gate_finance_mean,gate_finance_std,gate_finance_lo,gate_finance_hi,gate_rs_mean,gate_rs_std,gate_rs_lo,gate_rs_hi,gate_shipping_mean,gate_shipping_std,gate_shipping_lo,gate_shipping_hi
2023-03-31,0.47056814034779865,0.139294372588583,0.3312737677592157,0.6098625129363816,0.30354716380437213,0.04291522276069976,0.2606319410436724,0.3464623865650719,0.2258847008148829,0.1007006268499747,0.12518407396490822,0.3265853276648576
2023-04-07,0.46314533551534015,0.14134701414873974,0.3217983213666004,0.6044923496640799,0.3115508357683818,0.04057258962680997,0.2709782461415718,0.35212342539519176,0.22530380636453629,0.10182449087160371,0.12347931549293258,0.32712829723614
2023-04-14,0.46901028354962665,0.13038584627194624,0.33862443727768043,0.5993961298215729,0.3055117030938466,0.03880388006733341,0.2667078230265132,0.34431558316118005,0.22547798355420431,0.09791154768606401,0.12756643586814032,0.3233895312402683
2023-04-21,0.5236562490463257,0.1993550208077049,0.3243012282386208,0.7230112698540305,0.2722088595231374,0.09122961800058206,0.18097924152255535,0.36343847752371944,0.20413488894701004,0.11644687232909215,0.08768801661791789,0.32058176127610216
2023-04-28,0.5259082317352295,0.20517748950175912,0.32073074223347037,0.7310857212369886,0.27838362256685895,0.09133232168762083,0.1870513008792381,0.3697159442544798,0.1957081432143847,0.12308753591210991,0.07262060730227479,0.31879567912649465
2023-05-05,0.532885213692983,0.2142059401996845,0.3186792734932985,0.7470911538926676,0.2637505680322647,0.09946615510536544,0.16428441292689927,0.36321672313763015,0.20336421703298888,0.12314746830263829,0.08021674873035059,0.32651168533562713
2023-05-12,0.5296351611614227,0.21164590310242534,0.31798925805899736,0.7412810642638481,0.2604329188664754,0.10351471354448863,0.15691820532198678,0.36394763241096406,0.20993191127975783,0.11628820736609942,0.09364370391365841,0.32622011864585726
2023-05-19,0.5349487761656443,0.21971268099408156,0.3152360951715627,0.7546614571597259,0.25557556996742886,0.10534225446546272,0.15023331550196614,0.36091782443289155,0.20947561785578728,0.11851082702619753,0.09096479082958975,0.3279864448819848
2023-05-26,0.5513002375761668,0.23309308720693553,0.3182071503692312,0.7843933247831023,0.24226510524749756,0.12109540680236511,0.12116969844513245,0.36336051204986264,0.20643464227517447,0.11772526167170545,0.08870938060346902,0.32415990394687993
2023-06-02,0.5347901781400045,0.234656852747368,0.3001333253926365,0.7694470308873725,0.2538141533732414,0.12268292962380074,0.1311312237494407,0.37649708299704215,0.2113956535855929,0.11432216683196524,0.09707348675362766,0.32571782041755815
2023-06-09,0.5430481433868408,0.23037630392994538,0.3126718394568955,0.7734244473167862,0.24038894226153693,0.1202977819224782,0.12009116033905873,0.36068672418401515,0.21656292801102003,0.11718104751811274,0.09938188049290729,0.33374397552913276
2023-06-16,0.528954803943634,0.22305765934834818,0.30589714459528583,0.7520124632919822,0.2529969736933708,0.11331215499817633,0.1396848186951945,0.36630912869154714,0.21804824968179068,0.114229543637015,0.10381870604477568,0.3322777933188057
2023-06-23,0.5407075186570486,0.22425755830283994,0.31644996035420864,0.7649650769598886,0.2412598505616188,0.12103492508818818,0.12022492547343062,0.362294775649807,0.21803266306718191,0.1071986756929545,0.11083398737422741,0.32523133876013643
2023-06-30,0.546543667713801,0.239042675188007,0.307500992525794,0.7855863429018081,0.24682849645614624,0.12689015640320364,0.1199383400529426,0.3737186528593499,0.20662781099478403,0.11471767524117633,0.0919101357536077,0.3213454862359604
