period,masked_node,n_weeks,original_RMSE,masked_RMSE,delta_RMSE,delta_RMSE_pct
EU RU oil ban,Cape,16,5.058500147122012,5.05949831492188,0.000998167799868277,0.01973248533828631
EU RU oil ban,Hormuz+Suez+Mandeb+Cape,16,5.058500147122012,5.058658801493158,0.00015865437114648273,0.0031363915495186134
OPEC+,Hormuz,16,4.358140753151505,4.359359129655992,0.0012183765044868622,0.027956336738443888
OPEC+,Suez,16,4.358140753151505,4.358651562530532,0.000510809379027144,0.011720809582804748
OPEC+,Malacca,16,4.358140753151505,4.358006804917915,-0.0001339482335902531,-0.003073517841145623
OPEC+,Mandeb,16,4.358140753151505,4.3578638682976365,-0.00027688485386878625,-0.00635327928930618
OPEC+,Panama,16,4.358140753151505,4.357764549932663,-0.00037620321884190844,-0.008632195244495655
OPEC+,Cape,16,4.358140753151505,4.357508517209494,-0.0006322359420112278,-0.014507010622688554
OPEC+,Hormuz+Suez+Mandeb+Cape,16,4.358140753151505,4.358586922465786,0.0004461693142809864,0.010237606804186505
Red Sea,Hormuz,16,3.2647437507362245,3.2686662863267615,0.003922535590537013,0.1201483451695795
Red Sea,Suez,16,3.2647437507362245,3.264933904264913,0.00019015352868834157,0.00582445494061723
Red Sea,Malacca,16,3.2647437507362245,3.2666111482357474,0.001867397499522916,0.057198899579846696
Red Sea,Mandeb,16,3.2647437507362245,3.265497791475896,0.0007540407396713356,0.023096475473805
Red Sea,Panama,16,3.2647437507362245,3.2641594383859522,-0.0005843123502722314,-0.017897648173470504
Red Sea,Cape,16,3.2647437507362245,3.26297889856976,-0.0017648521664646033,-0.054057907793425564
Red Sea,Hormuz+Suez+Mandeb+Cape,16,3.2647437507362245,3.268530433095357,0.003786682359132598,0.11598712328582117
