channel,node_id,feature,group,mean_abs_shap
aoi,P011,sar_detections_dark,SAR,7.2610135e-07
choke,panama,pw_n_total,PortWatch_chokepoint,7.145262e-07
aoi,P003,pw_import_tanker,PortWatch_directional,6.791648e-07
choke,cape,sar_detections_dark,SAR,6.380393e-07
aoi,P007,sar_detections_total,SAR,6.348273e-07
aoi,P005,sar_detections_dark,SAR,6.291684e-07
aoi,P009,gfw_dwell_hrs_median,GFW,6.167808e-07
choke,panama,sar_detections_total,SAR,5.7472823e-07
choke,mandeb,sar_detections_dark,SAR,5.729186e-07
choke,panama,pw_capacity_tanker,PortWatch_chokepoint,5.66792e-07
choke,panama,pw_capacity_tanker_4w_ma,PortWatch_chokepoint,5.5979467e-07
aoi,P005,gfw_n_visits,GFW,5.3601525e-07
choke,cape,gfw_cargo_hours,GFW,4.940928e-07
aoi,P003,gfw_n_visits,GFW,4.771398e-07
choke,panama,gfw_other_hours,GFW,4.7347757e-07
choke,panama,gfw_total_hours,GFW,4.7128208e-07
aoi,P007,sar_detections_dark,SAR,4.6088186e-07
choke,panama,pw_capacity,PortWatch_chokepoint,4.4227244e-07
choke,suez,gfw_bunker_hours,GFW,4.403712e-07
choke,suez,gfw_other_hours,GFW,4.328682e-07
choke,panama,gfw_bunker_hours,GFW,4.2372335e-07
aoi,P007,pw_import_tanker,PortWatch_directional,4.098905e-07
aoi,P008,pw_import_tanker,PortWatch_directional,4.0732309e-07
aoi,P002,pw_portcalls_cargo,PortWatch_directional,3.869718e-07
choke,panama,gfw_total_vessels,GFW,3.8564042e-07
aoi,P005,gfw_self_loops,GFW,3.7249987e-07
choke,mandeb,gfw_mean_presence_hours_per_vessel,GFW,3.6723057e-07
choke,suez,gfw_total_hours,GFW,3.6240834e-07
aoi,P011,gfw_n_visits,GFW,3.4022304e-07
aoi,P011,gfw_self_loops,GFW,3.2914716e-07
choke,mandeb,gfw_cargo_hours,GFW,3.1799536e-07
choke,cape,sar_detections_total,SAR,2.8828563e-07
choke,mandeb,sar_detections_total,SAR,2.794572e-07
aoi,P003,pw_portcalls_tanker,PortWatch_directional,2.5847038e-07
choke,cape,gfw_total_hours,GFW,2.3086481e-07
aoi,P008,gfw_n_visits,GFW,2.2881093e-07
aoi,P008,pw_portcalls_tanker,PortWatch_directional,1.860237e-07
aoi,P011,pw_portcalls_cargo,PortWatch_directional,1.8445289e-07
aoi,P003,gfw_self_loops,GFW,1.6612782e-07
aoi,P007,pw_portcalls_tanker,PortWatch_directional,1.5573349e-07
aoi,P008,gfw_self_loops,GFW,1.5031789e-07
choke,cape,gfw_other_hours,GFW,9.7346145e-08
aoi,P010,gfw_self_loops,GFW,8.1067455e-08
aoi,P010,gfw_n_visits,GFW,7.9420005e-08
aoi,P007,gfw_n_visits,GFW,5.900353e-08
choke,mandeb,gfw_total_hours,GFW,5.5813963e-08
aoi,P010,pw_portcalls_tanker,PortWatch_directional,5.4300774e-08
choke,cape,gfw_bunker_hours,GFW,5.131185e-08
aoi,P010,pw_portcalls_cargo,PortWatch_directional,4.810034e-08
aoi,P007,gfw_self_loops,GFW,4.348e-08
aoi,P007,pw_portcalls_cargo,PortWatch_directional,4.250284e-08
choke,mandeb,gfw_other_hours,GFW,3.869981e-08
choke,mandeb,gfw_bunker_hours,GFW,7.974527e-09
aoi,P003,pw_portcalls_cargo,PortWatch_directional,5.3247105e-09
aoi,P008,pw_portcalls_cargo,PortWatch_directional,4.53576e-09
aoi,P010,pw_import_tanker,PortWatch_directional,1.632599e-09
