feature_index,channel,slot,lag,node_id,node_type,feature,group
195,aoi,0,4,P007,aoi,gfw_dwell_hrs_mean,GFW
196,aoi,0,4,P007,aoi,gfw_dwell_hrs_median,GFW
197,aoi,0,4,P007,aoi,gfw_self_loops,GFW
198,aoi,0,4,P007,aoi,sar_detections_total,SAR
199,aoi,0,4,P007,aoi,sar_detections_dark,SAR
200,aoi,0,4,P007,aoi,sar_dark_share,SAR
201,aoi,0,4,P008,aoi,pw_portcalls_tanker,PortWatch_directional
202,aoi,0,4,P008,aoi,pw_portcalls_cargo,PortWatch_directional
203,aoi,0,4,P008,aoi,pw_import_tanker,PortWatch_directional
204,aoi,0,4,P008,aoi,pw_export_tanker,PortWatch_directional
205,aoi,0,4,P008,aoi,gfw_n_visits,GFW
206,aoi,0,4,P008,aoi,gfw_dwell_hrs_mean,GFW
207,aoi,0,4,P008,aoi,gfw_dwell_hrs_median,GFW
208,aoi,0,4,P008,aoi,gfw_self_loops,GFW
209,aoi,0,4,P008,aoi,sar_detections_total,SAR
210,aoi,0,4,P008,aoi,sar_detections_dark,SAR
211,aoi,0,4,P008,aoi,sar_dark_share,SAR
212,aoi,0,4,P009,aoi,pw_portcalls_tanker,PortWatch_directional
213,aoi,0,4,P009,aoi,pw_portcalls_cargo,PortWatch_directional
214,aoi,0,4,P009,aoi,pw_import_tanker,PortWatch_directional
215,aoi,0,4,P009,aoi,pw_export_tanker,PortWatch_directional
216,aoi,0,4,P009,aoi,gfw_n_visits,GFW
217,aoi,0,4,P009,aoi,gfw_dwell_hrs_mean,GFW
218,aoi,0,4,P009,aoi,gfw_dwell_hrs_median,GFW
219,aoi,0,4,P009,aoi,gfw_self_loops,GFW
220,aoi,0,4,P009,aoi,sar_detections_total,SAR
221,aoi,0,4,P009,aoi,sar_detections_dark,SAR
222,aoi,0,4,P009,aoi,sar_dark_share,SAR
223,aoi,0,4,P010,aoi,pw_portcalls_tanker,PortWatch_directional
224,aoi,0,4,P010,aoi,pw_portcalls_cargo,PortWatch_directional
225,aoi,0,4,P010,aoi,pw_import_tanker,PortWatch_directional
226,aoi,0,4,P010,aoi,pw_export_tanker,PortWatch_directional
227,aoi,0,4,P010,aoi,gfw_n_visits,GFW
228,aoi,0,4,P010,aoi,gfw_dwell_hrs_mean,GFW
229,aoi,0,4,P010,aoi,gfw_dwell_hrs_median,GFW
230,aoi,0,4,P010,aoi,gfw_self_loops,GFW
231,aoi,0,4,P010,aoi,sar_detections_total,SAR
232,aoi,0,4,P010,aoi,sar_detections_dark,SAR
233,aoi,0,4,P010,aoi,sar_dark_share,SAR
234,aoi,0,4,P011,aoi,pw_portcalls_tanker,PortWatch_directional
235,aoi,0,4,P011,aoi,pw_portcalls_cargo,PortWatch_directional
