date,period_id
2024-07-12,year_2024
2024-07-19,full
2024-07-19,year_2024
2024-07-26,full
2024-07-26,year_2024
2024-08-02,full
2024-08-02,year_2024
2024-08-09,full
2024-08-09,year_2024
2024-08-16,full
2024-08-16,year_2024
2024-08-23,full
2024-08-23,year_2024
2024-08-30,full
2024-08-30,year_2024
2024-09-06,full
2024-09-06,year_2024
2024-09-13,full
2024-09-13,year_2024
2024-09-20,full
2024-09-20,year_2024
2024-09-27,full
2024-09-27,year_2024
2024-10-04,full
2024-10-04,year_2024
2024-10-11,full
2024-10-11,year_2024
2024-10-18,full
2024-10-18,year_2024
2024-10-25,full
2024-10-25,year_2024
2024-11-01,full
2024-11-01,year_2024
2024-11-08,full
2024-11-08,year_2024
2024-11-15,full
2024-11-15,year_2024
2024-11-22,full
2024-11-22,year_2024
2024-11-29,full
2024-11-29,year_2024
2024-12-06,full
2024-12-06,year_2024
2024-12-13,full
2024-12-13,year_2024
2024-12-20,full
2024-12-20,year_2024
2024-12-27,full
2024-12-27,year_2024
2025-01-03,full
2025-01-03,year_2025
2025-01-10,full
2025-01-10,year_2025
2025-01-17,full
2025-01-17,year_2025
2025-01-24,full
2025-01-24,year_2025
2025-01-31,full
2025-01-31,year_2025
2025-02-07,full
2025-02-07,year_2025
2025-02-14,full
2025-02-14,year_2025
2025-02-21,full
2025-02-21,year_2025
2025-02-28,full
2025-02-28,year_2025
2025-03-07,full
2025-03-07,year_2025
2025-03-14,full
2025-03-14,year_2025
2025-03-21,full
2025-03-21,year_2025
2025-03-28,full
2025-03-28,year_2025
2025-04-04,full
2025-04-04,year_2025
2025-04-11,full
2025-04-11,year_2025
2025-04-18,full
2025-04-18,year_2025
2025-04-25,full
2025-04-25,year_2025
2025-05-02,full
2025-05-02,year_2025
2025-05-09,full
2025-05-09,year_2025
2025-05-16,full
2025-05-16,year_2025
2025-05-23,full
2025-05-23,year_2025
2025-05-30,full
2025-05-30,year_2025
2025-06-06,full
2025-06-06,year_2025
2025-06-13,full
2025-06-13,year_2025
2025-06-20,full
2025-06-20,year_2025
2025-06-27,full
2025-06-27,year_2025
2025-07-04,full
2025-07-04,year_2025
2025-07-11,full
2025-07-11,year_2025
2025-07-18,full
2025-07-18,year_2025
2025-07-25,full
2025-07-25,year_2025
2025-08-01,full
2025-08-01,year_2025
2025-08-08,full
2025-08-08,year_2025
2025-08-15,full
2025-08-15,year_2025
2025-08-22,full
2025-08-22,year_2025
2025-08-29,full
2025-08-29,year_2025
2025-09-05,full
2025-09-05,year_2025
2025-09-12,full
2025-09-12,year_2025
2025-09-19,full
2025-09-19,year_2025
