date,rs:P001,rs:P002,rs:P003,rs:P004,rs:P005,rs:P006,rs:P007,rs:P008,rs:P009,rs:P010,rs:P011,sh:P001,sh:P002,sh:P003,sh:P004,sh:P005,sh:P006,sh:P007,sh:P008,sh:P009,sh:P010,sh:P011,sh:hormuz,sh:suez,sh:malacca,sh:mandeb,sh:panama,sh:cape
2021-05-14,0.035486042,0.034024317,0.032810323,0.033324968,0.03606006,0.03333627,0.03385999,0.03373302,0.03600992,0.033157863,0.034699872,0.037210554,0.03736989,0.03798582,0.036742706,0.037655532,0.03695626,0.038171824,0.0376526,0.037424803,0.037889514,0.037553735,0.035859697,0.035590086,0.033962563,0.034885198,0.035032127,0.035554394
2021-05-21,0.034804802,0.036923505,0.03519316,0.034510173,0.035376105,0.035286903,0.03601661,0.035024405,0.0363693,0.035625007,0.036677137,0.036520317,0.03647762,0.036701888,0.036849286,0.0366109,0.03644776,0.03744908,0.0369114,0.0367013,0.037268206,0.036425576,0.034494452,0.03372261,0.03398325,0.033918176,0.03383985,0.03387128
2021-05-28,0.035577048,0.037347976,0.035389945,0.035454944,0.03571493,0.035038263,0.036737163,0.035393838,0.037348952,0.035253327,0.037021536,0.036078647,0.036184065,0.03651837,0.036066517,0.036497556,0.035539728,0.03654524,0.03654027,0.03637345,0.03735288,0.037034616,0.03445557,0.0339179,0.03321228,0.033973612,0.03358053,0.033850834
2021-06-04,0.03436263,0.03758936,0.03547585,0.035068788,0.035239875,0.03538036,0.03633735,0.035284657,0.036413994,0.035894223,0.037180275,0.03629818,0.0364031,0.03675738,0.036203153,0.036521077,0.03605508,0.036442347,0.037107937,0.036406215,0.037102904,0.03676958,0.034375884,0.03381872,0.03358641,0.033814818,0.034013268,0.03409662
2021-06-11,0.034813926,0.036399923,0.035231028,0.03507524,0.035423007,0.03472064,0.035639767,0.03549746,0.03581909,0.03546414,0.03662364,0.036481306,0.036549687,0.036734052,0.036365803,0.036587756,0.036427025,0.036757484,0.036818516,0.036550373,0.03632042,0.03716802,0.03480483,0.034340166,0.03399397,0.034444064,0.034447674,0.034500986
2021-06-18,0.034837537,0.036166742,0.03449997,0.03436727,0.034735486,0.033578366,0.0352515,0.035110287,0.035732187,0.03422395,0.03565809,0.037332315,0.037082728,0.037233733,0.037301015,0.037258625,0.03674008,0.038567316,0.03755047,0.03717444,0.03663177,0.038002495,0.035499133,0.03393923,0.033713475,0.0339242,0.033727493,0.034160085
2021-06-25,0.034931324,0.03683272,0.03574128,0.035954196,0.03562803,0.034760352,0.03646086,0.035025477,0.036891323,0.03524396,0.036617327,0.036075532,0.03634179,0.03642279,0.036334373,0.03667774,0.036037795,0.03677471,0.036731295,0.03645996,0.035987377,0.036253367,0.035148084,0.03416519,0.034009375,0.034213986,0.03409403,0.0341858
2021-07-02,0.03416464,0.036414944,0.03579363,0.03552486,0.035087638,0.034855977,0.035745233,0.035061356,0.035877623,0.03525967,0.036989678,0.036827296,0.03691499,0.037222646,0.037159234,0.03681486,0.036670078,0.037608482,0.03728886,0.036953915,0.036159817,0.03691281,0.03448886,0.03369366,0.033594504,0.033714812,0.03351243,0.033687487
2021-07-09,0.034059856,0.035919707,0.035875104,0.035989568,0.03552104,0.034701634,0.035780344,0.03455536,0.03604249,0.035289705,0.037319954,0.03655485,0.036820333,0.036607277,0.036801003,0.036577914,0.036541764,0.038322397,0.03718058,0.036524937,0.037624616,0.037617806,0.03441754,0.033424124,0.03342236,0.033418033,0.033497334,0.033592377
2021-07-16,0.034370653,0.035984457,0.035760254,0.03484206,0.035124905,0.035422593,0.03546527,0.035740376,0.03502358,0.03564798,0.03654146,0.036792934,0.03661225,0.03666327,0.036937106,0.03650745,0.036908165,0.036348075,0.037416276,0.03670614,0.03779598,0.037207846,0.03512127,0.033730775,0.033984445,0.033811715,0.03371685,0.03381589
2021-07-23,0.03700801,0.032427434,0.038800545,0.037511162,0.035547256,0.035929434,0.032317393,0.037273735,0.034265455,0.033434205,0.034702264,0.03613891,0.036283806,0.036567837,0.035504762,0.0368421,0.035785258,0.038243897,0.036735624,0.036529303,0.03652548,0.038353637,0.034574747,0.034319982,0.033483285,0.03441267,0.034501106,0.035980687
2021-07-30,0.036143746,0.034094546,0.039943766,0.037596487,0.035299204,0.03644312,0.032793343,0.03740944,0.034050763,0.03460976,0.035366837,0.036550596,0.036252692,0.036266334,0.03513907,0.036411725,0.036176685,0.036068935,0.036759738,0.03636949,0.03668709,0.03726753,0.03419864,0.03397186,0.033389296,0.03437038,0.035246976,0.035121955
2021-08-06,0.03675534,0.03312663,0.039230663,0.037126247,0.03564986,0.03670466,0.03206402,0.03787532,0.033514824,0.034165744,0.034366682,0.03630564,0.036247823,0.036384635,0.03594029,0.03670215,0.03621422,0.036740135,0.036891926,0.036540575,0.03604055,0.037831623,0.03472178,0.03435359,0.03386505,0.034259655,0.0346309,0.035749454
2021-08-13,0.035744637,0.03476645,0.040031195,0.036864325,0.034489058,0.03759064,0.033294346,0.038545843,0.033778735,0.034696337,0.034946337,0.036521595,0.03603194,0.03599753,0.035934146,0.036545366,0.036358524,0.037525225,0.036590304,0.036341313,0.036979403,0.037292205,0.033991322,0.03322322,0.033428438,0.033948455,0.034153856,0.034389257
2021-08-20,0.035059683,0.035324827,0.040578954,0.035800688,0.03339435,0.03927289,0.034246862,0.04134979,0.033729017,0.035798755,0.03492052,0.035703395,0.03559479,0.03582263,0.03571721,0.035564255,0.035344787,0.037499856,0.0361753,0.03536911,0.03719287,0.03787699,0.03427858,0.033618625,0.033213846,0.034006447,0.033770084,0.033774897
2021-08-27,0.036832493,0.03352972,0.039971493,0.03724948,0.034411397,0.036743972,0.033246536,0.038812246,0.034059197,0.03393038,0.034571975,0.03634972,0.036090054,0.03592263,0.03576836,0.03625641,0.03631893,0.03731133,0.036595453,0.03634828,0.039661486,0.037188552,0.034039542,0.03309178,0.033042233,0.03371994,0.03404005,0.03489634
2021-09-03,0.035754524,0.035222903,0.03970544,0.037431173,0.03378199,0.036664773,0.034252644,0.038071085,0.035160474,0.03442147,0.035279047,0.0362738,0.03635452,0.036054693,0.03549386,0.036189698,0.036158647,0.0387409,0.036975104,0.035986368,0.035443988,0.036953382,0.033759855,0.03345375,0.03333956,0.03395018,0.034556825,0.034569368
2021-09-10,0.03519817,0.034944892,0.039557166,0.037192054,0.033696517,0.03624961,0.034440298,0.03724137,0.03545296,0.03463608,0.03527774,0.03608459,0.036405537,0.03626301,0.035377048,0.03627893,0.035944596,0.036517084,0.03621759,0.036195397,0.03729296,0.03660127,0.03390217,0.034536887,0.033711445,0.034524653,0.0349873,0.03527271
2021-09-17,0.036265094,0.033180714,0.037447385,0.037394784,0.03575188,0.03502799,0.033666812,0.035641905,0.035099782,0.034206063,0.03539637,0.036105588,0.036250036,0.036586147,0.03497026,0.036654234,0.036091983,0.036551032,0.036388308,0.03639111,0.036774185,0.03720781,0.034640726,0.035171233,0.034274552,0.03511753,0.03557088,0.0361756
2021-09-24,0.037158974,0.034510788,0.03673616,0.038451064,0.036244445,0.035450827,0.03433719,0.035890948,0.036296476,0.034681898,0.036449984,0.03553796,0.035700392,0.036028467,0.034790218,0.036183354,0.035446566,0.03628406,0.035935245,0.036110956,0.036613774,0.036276385,0.034096304,0.034985058,0.034142457,0.034614045,0.035463613,0.035582386
2021-10-01,0.035749868,0.03484041,0.03840054,0.03690039,0.03434306,0.036980297,0.034877237,0.037739817,0.03503281,0.034837496,0.035131644,0.03625793,0.03618938,0.035979368,0.035727315,0.036348004,0.036638446,0.036526524,0.03699023,0.036115777,0.036630303,0.037249345,0.033907797,0.033694103,0.033698663,0.034240823,0.03436465,0.034607776
2021-10-08,0.03608877,0.032700464,0.037588876,0.037462156,0.034965865,0.036831833,0.032814495,0.03701584,0.034838665,0.03332111,0.035161693,0.037204567,0.036807492,0.037149336,0.035811104,0.037375312,0.036963016,0.03750206,0.03680966,0.036944345,0.037200928,0.037506305,0.033450015,0.03400168,0.033091344,0.033994168,0.03381397,0.035584923
2021-10-15,0.035322648,0.033442326,0.03949496,0.035460494,0.033811588,0.03761452,0.0338023,0.03902483,0.03450295,0.03400587,0.034259237,0.03684803,0.036764108,0.036582176,0.035851065,0.037032906,0.037532806,0.03805188,0.036688387,0.037022755,0.03693007,0.038549036,0.033810947,0.032965135,0.032773383,0.0335122,0.033790946,0.034552447
2021-10-22,0.037180528,0.032783374,0.035908666,0.03555055,0.035830796,0.03606686,0.034131248,0.03614525,0.036015574,0.033779565,0.035136282,0.03670082,0.036876418,0.03683829,0.03642595,0.037075672,0.03694501,0.037054714,0.037036825,0.037056062,0.03684096,0.037429564,0.034782507,0.033709623,0.03373096,0.034070328,0.03396476,0.0349328
2021-10-29,0.03663395,0.032916546,0.037013467,0.035133865,0.036048993,0.035502,0.033431593,0.035973083,0.036116622,0.03436647,0.035186797,0.036231674,0.036170684,0.036649704,0.035290785,0.036921196,0.036393143,0.036881767,0.03626534,0.03662298,0.036199898,0.03714372,0.034954634,0.035206117,0.03417313,0.03497298,0.035177667,0.036421187
2021-11-05,0.036875665,0.033741564,0.036961973,0.036607593,0.036178626,0.035341457,0.034890316,0.0353944,0.03751207,0.03442586,0.036633927,0.036227155,0.036392935,0.03654667,0.03563802,0.036505345,0.03605582,0.036893886,0.036453675,0.036357664,0.035537682,0.03629755,0.034661874,0.034196444,0.033741485,0.03460499,0.034180574,0.035144795
2021-11-12,0.037720166,0.033541568,0.037082747,0.03616877,0.036581695,0.035789747,0.03469868,0.035768054,0.037877165,0.034552723,0.036287047,0.03607766,0.0364168,0.03643469,0.035762943,0.036440216,0.036295354,0.036482494,0.036449134,0.036385026,0.037104927,0.03717918,0.03390413,0.033810794,0.033520594,0.033789173,0.033727955,0.03415055
2021-11-19,0.037227,0.03350956,0.036926966,0.03766195,0.036311336,0.035838455,0.034717396,0.03494807,0.036633834,0.033754475,0.037134007,0.036074586,0.036473446,0.036538027,0.035585206,0.036789067,0.03642407,0.036433335,0.036317788,0.036422323,0.03608547,0.036213055,0.03389963,0.03422976,0.033781596,0.03446726,0.034170613,0.03543169
2021-11-26,0.035703048,0.033427846,0.037731323,0.038024954,0.0353673,0.03558097,0.03405662,0.035371073,0.035829984,0.033549383,0.03651733,0.035797887,0.0361425,0.036607385,0.034903925,0.03685584,0.03641816,0.03655301,0.03571624,0.036545403,0.035541605,0.036166415,0.03497406,0.035727277,0.034110934,0.035231985,0.035329677,0.036217842
