week_ending_friday,from_site,to_site,n_voyages,mean_transit_days
2019-03-15,P002,P004,9.0,38.09027391975309
2019-03-15,P002,P005,1.0,44.77090277777778
2019-03-15,P002,P006,2.0,36.65913773148148
2019-03-15,P002,P008,1.0,2.0390740740740743
2019-03-15,P002,P011,1.0,22.254074074074072
2019-03-15,P003,P002,6.0,4.817121913580247
2019-03-15,P003,P004,7.0,15.73399636243386
2019-03-15,P003,P005,1.0,48.19758101851852
2019-03-15,P003,P006,0.0,
2019-03-15,P003,P008,0.0,
2019-03-15,P003,P009,0.0,
2019-03-15,P004,P001,16.0,29.036717303240742
2019-03-15,P004,P002,14.0,28.54271164021164
2019-03-15,P004,P003,7.0,21.0758912037037
2019-03-15,P004,P005,1.0,40.63891203703704
2019-03-15,P004,P006,26.0,13.682370904558404
2019-03-15,P004,P008,1.0,13.952743055555556
2019-03-15,P004,P009,12.0,21.698156828703706
2019-03-15,P004,P011,1.0,39.71074074074074
2019-03-15,P005,P001,3.0,25.444672067901234
2019-03-15,P005,P004,1.0,43.66060185185185
2019-03-15,P005,P006,1.0,50.93702546296296
2019-03-15,P006,P001,0.0,
2019-03-15,P006,P004,14.0,14.656941137566138
2019-03-15,P006,P008,0.0,
2019-03-15,P006,P009,2.0,14.965324074074074
2019-03-15,P007,P002,1.0,21.536516203703705
2019-03-15,P008,P002,2.0,20.139658564814813
2019-03-15,P008,P003,0.0,
2019-03-15,P008,P004,1.0,31.842962962962964
2019-03-15,P008,P006,0.0,
2019-03-15,P009,P001,1.0,44.69091435185185
2019-03-15,P009,P004,12.0,10.489092399691357
2019-03-15,P009,P005,1.0,48.113680555555554
2019-03-15,P009,P006,2.0,1.6020949074074073
2019-03-15,P011,P001,0.0,
2019-03-15,P011,P004,0.0,
2019-03-15,P011,P009,0.0,
2019-03-22,P001,P002,1.0,51.85072916666667
2019-03-22,P001,P003,0.0,
2019-03-22,P001,P004,10.0,37.83756134259259
2019-03-22,P001,P005,4.0,27.09186342592593
2019-03-22,P001,P006,3.0,47.56797067901235
2019-03-22,P002,P003,3.0,16.14751929012346
2019-03-22,P002,P004,11.0,31.11482112794613
2019-03-22,P002,P005,0.0,
2019-03-22,P002,P006,0.0,
2019-03-22,P002,P008,1.0,3.494525462962963
2019-03-22,P002,P010,1.0,4.976516203703704
2019-03-22,P002,P011,1.0,8.341273148148149
2019-03-22,P003,P002,3.0,3.472631172839506
2019-03-22,P003,P004,6.0,14.657488425925926
2019-03-22,P003,P005,1.0,50.39371527777778
2019-03-22,P003,P006,0.0,
2019-03-22,P003,P008,2.0,0.6683506944444444
2019-03-22,P003,P009,0.0,
2019-03-22,P004,P001,16.0,33.40338975694444
2019-03-22,P004,P002,14.0,29.739187334656087
2019-03-22,P004,P003,6.0,14.68579861111111
2019-03-22,P004,P005,2.0,46.8904050925926
2019-03-22,P004,P006,21.0,16.950688381834215
2019-03-22,P004,P008,1.0,13.443622685185185
2019-03-22,P004,P009,7.0,21.832194113756618
2019-03-22,P004,P011,1.0,50.5171412037037
2019-03-22,P005,P001,5.0,28.745745370370372
2019-03-22,P005,P003,1.0,60.948055555555555
2019-03-22,P005,P004,1.0,43.500034722222225
2019-03-22,P005,P006,0.0,
2019-03-22,P006,P001,3.0,28.05571759259259
2019-03-22,P006,P002,1.0,56.28855324074074
2019-03-22,P006,P004,27.0,14.178484653635117
2019-03-22,P006,P008,0.0,
2019-03-22,P006,P009,3.0,27.139872685185185
2019-03-22,P007,P002,0.0,
2019-03-22,P008,P002,5.0,20.19957175925926
2019-03-22,P008,P003,1.0,5.325046296296296
2019-03-22,P008,P004,0.0,
2019-03-22,P008,P006,0.0,
2019-03-22,P009,P001,0.0,
2019-03-22,P009,P004,6.0,33.47619405864197
2019-03-22,P009,P005,0.0,
2019-03-22,P009,P006,2.0,40.690873842592595
2019-03-22,P011,P001,0.0,
2019-03-22,P011,P004,0.0,
2019-03-22,P011,P009,0.0,
2019-03-29,P001,P002,1.0,45.100208333333335
2019-03-29,P001,P003,1.0,37.86625
2019-03-29,P001,P004,15.0,40.26368132716049
2019-03-29,P001,P005,4.0,34.41640335648148
2019-03-29,P001,P006,1.0,45.61466435185185
2019-03-29,P002,P001,1.0,55.75635416666667
2019-03-29,P002,P003,4.0,5.437418981481481
2019-03-29,P002,P004,13.0,27.79405448717949
2019-03-29,P002,P005,0.0,
2019-03-29,P002,P006,0.0,
2019-03-29,P002,P008,1.0,1.6062731481481485
2019-03-29,P002,P010,0.0,
2019-03-29,P002,P011,1.0,17.923136574074075
2019-03-29,P003,P002,9.0,7.648879886831277
2019-03-29,P003,P004,4.0,13.96740162037037
2019-03-29,P003,P005,1.0,53.353854166666665
2019-03-29,P003,P006,0.0,
2019-03-29,P003,P008,3.0,8.357156635802468
2019-03-29,P003,P009,0.0,
2019-03-29,P004,P001,13.0,32.305633012820515
2019-03-29,P004,P002,20.0,30.650094328703705
2019-03-29,P004,P003,7.0,15.91207341269841
2019-03-29,P004,P005,1.0,65.25001157407408
2019-03-29,P004,P006,28.0,20.54652240410053
2019-03-29,P004,P007,1.0,64.70230324074075
2019-03-29,P004,P008,1.0,19.75111111111111
2019-03-29,P004,P009,7.0,14.246926256613756
2019-03-29,P004,P011,1.0,24.27365740740741
2019-03-29,P005,P001,5.0,37.84698148148148
2019-03-29,P005,P003,0.0,
2019-03-29,P005,P004,1.0,43.47599537037037
2019-03-29,P005,P006,1.0,28.770972222222223
2019-03-29,P006,P001,0.0,
2019-03-29,P006,P002,1.0,16.935127314814814
2019-03-29,P006,P004,29.0,17.474886653895275
2019-03-29,P006,P008,0.0,
2019-03-29,P006,P009,2.0,43.9296875
2019-03-29,P007,P002,0.0,
2019-03-29,P008,P002,1.0,21.62127314814815
2019-03-29,P008,P003,1.0,5.787083333333333
2019-03-29,P008,P004,1.0,55.047164351851855
2019-03-29,P008,P006,2.0,23.46466435185185
2019-03-29,P009,P001,0.0,
2019-03-29,P009,P004,14.0,27.711138392857144
2019-03-29,P009,P005,0.0,
2019-03-29,P009,P006,3.0,15.17935185185185
2019-03-29,P011,P001,0.0,
2019-03-29,P011,P004,2.0,59.21845486111111
2019-03-29,P011,P009,0.0,
2019-04-05,P001,P002,0.0,
2019-04-05,P001,P003,0.0,
2019-04-05,P001,P004,14.0,42.230186838624334
2019-04-05,P001,P005,4.0,27.670367476851855
2019-04-05,P001,P006,2.0,20.24670138888889
2019-04-05,P001,P009,1.0,53.05920138888889
2019-04-05,P002,P001,0.0,
2019-04-05,P002,P003,1.0,1.7463425925925926
2019-04-05,P002,P004,16.0,47.32376953125
2019-04-05,P002,P005,1.0,44.20266203703704
2019-04-05,P002,P006,1.0,29.67326388888889
2019-04-05,P002,P007,2.0,15.397598379629628
2019-04-05,P002,P008,0.0,
2019-04-05,P002,P010,0.0,
2019-04-05,P002,P011,3.0,9.796111111111111
2019-04-05,P003,P002,6.0,5.520520833333333
2019-04-05,P003,P004,9.0,29.154198816872427
2019-04-05,P003,P005,0.0,
2019-04-05,P003,P006,0.0,
2019-04-05,P003,P008,0.0,
2019-04-05,P003,P009,1.0,45.54280092592592
2019-04-05,P004,P001,16.0,37.55564525462963
2019-04-05,P004,P002,14.0,35.872282572751324
2019-04-05,P004,P003,11.0,16.916475168350168
2019-04-05,P004,P005,1.0,33.0240625
2019-04-05,P004,P006,21.0,20.162274029982363
2019-04-05,P004,P007,0.0,
2019-04-05,P004,P008,1.0,13.264814814814814
2019-04-05,P004,P009,7.0,15.591152447089948
2019-04-05,P004,P011,0.0,
2019-04-05,P005,P001,3.0,34.283680555555556
2019-04-05,P005,P002,1.0,70.37145833333334
2019-04-05,P005,P003,1.0,62.356631944444445
2019-04-05,P005,P004,1.0,43.21142361111111
2019-04-05,P005,P006,1.0,31.58335648148148
2019-04-05,P006,P001,1.0,31.70523148148148
2019-04-05,P006,P002,0.0,
2019-04-05,P006,P004,29.0,17.73726732120051
2019-04-05,P006,P005,1.0,61.909305555555555
2019-04-05,P006,P008,0.0,
2019-04-05,P006,P009,1.0,3.4910995370370372
2019-04-05,P007,P002,0.0,
2019-04-05,P008,P002,4.0,14.458614004629629
2019-04-05,P008,P003,0.0,
2019-04-05,P008,P004,0.0,
2019-04-05,P008,P006,3.0,51.78098765432099
2019-04-05,P009,P001,0.0,
2019-04-05,P009,P004,15.0,24.913918209876545
2019-04-05,P009,P005,1.0,42.68680555555556
2019-04-05,P009,P006,2.0,10.714247685185185
2019-04-05,P010,P008,1.0,63.87733796296296
2019-04-05,P011,P001,0.0,
2019-04-05,P011,P004,2.0,38.86643518518518
2019-04-05,P011,P009,0.0,
2019-04-12,P001,P002,0.0,
2019-04-12,P001,P003,0.0,
2019-04-12,P001,P004,17.0,41.38103690087146
2019-04-12,P001,P005,2.0,31.863252314814815
2019-04-12,P001,P006,0.0,
2019-04-12,P001,P009,0.0,
2019-04-12,P002,P001,1.0,82.83049768518518
2019-04-12,P002,P003,4.0,17.867265625
2019-04-12,P002,P004,18.0,42.410479038065844
2019-04-12,P002,P005,1.0,86.99340277777777
2019-04-12,P002,P006,0.0,
2019-04-12,P002,P007,0.0,
2019-04-12,P002,P008,1.0,1.972002314814815
2019-04-12,P002,P010,0.0,
2019-04-12,P002,P011,3.0,26.9275
2019-04-12,P003,P002,10.0,17.335714120370373
2019-04-12,P003,P004,5.0,13.907182870370372
2019-04-12,P003,P005,0.0,
2019-04-12,P003,P006,0.0,
2019-04-12,P003,P008,0.0,
2019-04-12,P003,P009,1.0,30.34696759259259
2019-04-12,P004,P001,16.0,31.67785590277778
2019-04-12,P004,P002,14.0,38.667009755291005
2019-04-12,P004,P003,12.0,23.97322337962963
2019-04-12,P004,P005,4.0,67.0845949074074
2019-04-12,P004,P006,28.0,24.28276455026455
2019-04-12,P004,P007,0.0,
2019-04-12,P004,P008,2.0,15.637268518518518
2019-04-12,P004,P009,10.0,13.235037037037037
2019-04-12,P004,P011,0.0,
2019-04-12,P005,P001,3.0,16.882700617283948
2019-04-12,P005,P002,1.0,69.51611111111112
2019-04-12,P005,P003,0.0,
2019-04-12,P005,P004,2.0,78.16505787037036
2019-04-12,P005,P006,0.0,
2019-04-12,P005,P008,1.0,72.62342592592593
2019-04-12,P006,P001,3.0,38.24890046296296
2019-04-12,P006,P002,1.0,22.982569444444444
2019-04-12,P006,P004,26.0,13.360960648148149
2019-04-12,P006,P005,0.0,
2019-04-12,P006,P008,0.0,
2019-04-12,P006,P009,1.0,9.834756944444443
2019-04-12,P007,P002,0.0,
2019-04-12,P008,P002,4.0,30.538703703703703
2019-04-12,P008,P003,0.0,
2019-04-12,P008,P004,0.0,
2019-04-12,P008,P006,0.0,
2019-04-12,P008,P010,1.0,55.888009259259256
2019-04-12,P009,P001,1.0,36.4278125
2019-04-12,P009,P004,4.0,29.583428819444446
2019-04-12,P009,P005,1.0,40.45150462962963
2019-04-12,P009,P006,2.0,21.40695601851852
2019-04-12,P010,P008,1.0,2.5775462962962963
2019-04-12,P011,P001,0.0,
2019-04-12,P011,P004,0.0,
2019-04-12,P011,P009,0.0,
2019-04-19,P001,P002,1.0,59.309502314814814
2019-04-19,P001,P003,0.0,
2019-04-19,P001,P004,13.0,39.34059561965812
2019-04-19,P001,P005,2.0,53.35018518518518
2019-04-19,P001,P006,1.0,35.281655092592594
2019-04-19,P001,P008,1.0,35.971180555555556
2019-04-19,P001,P009,0.0,
2019-04-19,P002,P001,1.0,85.59945601851852
2019-04-19,P002,P003,3.0,7.788341049382716
2019-04-19,P002,P004,13.0,42.07030715811966
2019-04-19,P002,P005,1.0,79.08315972222222
2019-04-19,P002,P006,2.0,33.438663194444445
2019-04-19,P002,P007,0.0,
2019-04-19,P002,P008,2.0,3.5940104166666664
2019-04-19,P002,P009,1.0,30.997719907407408
2019-04-19,P002,P010,0.0,
2019-04-19,P002,P011,2.0,19.41420138888889
2019-04-19,P003,P002,5.0,4.956391203703704
2019-04-19,P003,P004,4.0,29.265355902777777
2019-04-19,P003,P005,1.0,41.77873842592592
2019-04-19,P003,P006,0.0,
2019-04-19,P003,P008,2.0,0.7313599537037037
2019-04-19,P003,P009,0.0,
2019-04-19,P004,P001,15.0,34.088725308641976
2019-04-19,P004,P002,17.0,38.37879697712418
2019-04-19,P004,P003,10.0,18.83105324074074
2019-04-19,P004,P005,2.0,60.04644675925926
2019-04-19,P004,P006,21.0,25.965683421516754
2019-04-19,P004,P007,1.0,20.17011574074074
2019-04-19,P004,P008,4.0,21.611623263888887
2019-04-19,P004,P009,11.0,32.895617634680136
2019-04-19,P004,P011,2.0,57.83418981481482
2019-04-19,P005,P001,4.0,17.289592013888885
2019-04-19,P005,P002,0.0,
2019-04-19,P005,P003,0.0,
2019-04-19,P005,P004,3.0,55.16096643518519
2019-04-19,P005,P006,0.0,
2019-04-19,P005,P008,0.0,
2019-04-19,P006,P001,0.0,
2019-04-19,P006,P002,0.0,
2019-04-19,P006,P004,34.0,17.408339460784315
2019-04-19,P006,P005,0.0,
2019-04-19,P006,P008,1.0,21.684641203703706
2019-04-19,P006,P009,3.0,25.77573688271605
2019-04-19,P007,P002,0.0,
2019-04-19,P007,P004,1.0,75.7364236111111
2019-04-19,P008,P002,1.0,1.695636574074074
2019-04-19,P008,P003,1.0,0.7118287037037037
2019-04-19,P008,P004,0.0,
2019-04-19,P008,P006,0.0,
2019-04-19,P008,P010,0.0,
2019-04-19,P009,P001,0.0,
2019-04-19,P009,P004,8.0,23.935752314814813
2019-04-19,P009,P005,0.0,
2019-04-19,P009,P006,5.0,7.107069444444443
2019-04-19,P010,P008,0.0,
2019-04-19,P011,P001,0.0,
2019-04-19,P011,P002,1.0,47.69017361111111
2019-04-19,P011,P004,1.0,80.95018518518519
2019-04-19,P011,P009,0.0,
2019-04-26,P001,P002,3.0,44.79711226851852
2019-04-26,P001,P003,0.0,
