week_ending_friday,site_id,pw_portcalls_tanker,pw_portcalls_cargo,pw_import_tanker,pw_export_tanker,gfw_n_visits,gfw_dwell_hrs_mean,gfw_dwell_hrs_median,gfw_self_loops,sar_detections_total,sar_detections_dark,sar_dark_share,avail_node
2019-03-08,P002,58.0,7.0,522951.0,641315.0,112.0,38.971912202380956,17.170277777777777,43.0,768.0,47.0,0.0611979166666666,1
2019-03-08,P003,13.0,0.0,52785.0,1229206.0,26.0,114.97082222222221,43.52194444444444,3.0,248.0,72.0,0.2903225806451613,1
2019-03-08,P004,475.0,359.0,2957434.0,2769777.0,563.0,36.521108626515606,22.924166666666668,299.0,833.0,78.0,0.0936374549819928,1
2019-03-08,P005,98.0,49.0,624396.0,2265017.0,36.0,87.16908950617284,59.50805555555556,10.0,18.0,3.0,0.1666666666666666,1
2019-03-08,P006,82.0,254.0,959215.0,201990.0,337.0,64.9567984651318,28.754444444444445,216.0,245.0,13.0,0.0530612244897959,1
2019-03-08,P007,9.0,0.0,3748.0,218441.0,0.0,,,0.0,52.0,16.0,0.3076923076923077,1
2019-03-08,P008,11.0,0.0,0.0,2384109.0,13.0,56.158568376068374,15.354722222222222,7.0,483.0,273.0,0.5652173913043478,1
2019-03-08,P009,204.0,91.0,2359216.0,1364949.0,92.0,53.417361111111106,20.238055555555555,47.0,306.0,44.0,0.1437908496732026,1
2019-03-08,P010,7.0,0.0,0.0,716545.0,3.0,126.9375,94.15444444444444,1.0,113.0,93.0,0.8230088495575221,1
2019-03-08,P011,25.0,1.0,193087.0,831757.0,2.0,89.6525,89.6525,0.0,7.0,4.0,0.5714285714285714,1
2019-03-15,P001,370.0,320.0,3166243.0,1137080.0,317.0,47.37024886084823,31.85388888888889,208.0,104.0,14.0,0.1346153846153846,1
2019-03-15,P002,61.0,7.0,547682.0,744449.0,100.0,39.01235,17.001805555555556,37.0,768.0,47.0,0.0611979166666666,1
2019-03-15,P003,14.0,0.0,80770.0,1060015.0,22.0,112.7992297979798,75.17736111111111,4.0,248.0,72.0,0.2903225806451613,1
2019-03-15,P004,500.0,370.0,3335653.0,3036519.0,584.0,33.078192058037416,21.548472222222223,317.0,833.0,78.0,0.0936374549819928,1
