week_ending_friday,region_type,region_id,region_short,emodnet_density_mean,emodnet_density_max,emodnet_density_sum,emodnet_n_valid_px
2019-12-27,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-01-03,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-01-10,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-01-17,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-01-24,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-01-31,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-02-07,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-02-14,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-02-21,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-02-28,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-03-06,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-03-13,chokepoint,Cape of Good Hope,cape,,,,0.0
2020-03-20,chokepoint,Cape of Good Hope,cape,,,,0.0
