group,config,seed,lookback,d,gat,tcn,rs_kind,lr,wd,dropout,RMSE,skill_vs_M0,DirAcc,CW_p_vs_M0,DM_p_vs_M1,n_test
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.0001,0.1,4.2473340827514265,-0.0230140576767758,0.4591439688715953,0.9281138079154374,0.4572924772135197,257
rs,m_rs_deep,42,4,32,2,2,cls,0.001,0.0001,0.1,4.609718578948405,-0.1102980872988275,0.4591439688715953,0.6874851048170987,0.8961286718587795,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.0001,0.3,4.190772007710942,-0.009390500694816,0.490272373540856,0.6017127927414636,0.1975496941473511,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.001,0.1,4.248685993525153,-0.0233396792783031,0.4280155642023346,0.9467555122200224,0.4634745858303559,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.001,0.001,0.3,4.18914796173472,-0.008999332533419,0.490272373540856,0.6051771036725904,0.195259366669219,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.0001,0.1,4.228421712711202,-0.0184588190169054,0.4357976653696498,0.891562661648732,0.3676659276800012,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.0001,0.3,4.19040916367868,-0.0093031059812107,0.4591439688715953,0.726095111874228,0.1812860673304643,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.001,0.1,4.21976554912672,-0.0163738930704306,0.4552529182879377,0.8743594534330175,0.327182884292216,257
rs,m_rs_deep,42,4,32,2,2,meanpool,0.0003,0.001,0.3,4.192116798335254,-0.0097144073351931,0.4591439688715953,0.7337355551556575,0.1879526123596785,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.0001,0.3,4.139646102391628,0.0029236989499712,0.556420233463035,0.1358567620766946,0.03794210478951,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.001,0.1,4.148303328332272,0.0008385171240984,0.5447470817120622,0.1678649091868916,0.0639102832504115,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.001,0.001,0.3,4.1431467737946415,0.0020805262711056,0.5408560311284046,0.1676244130071127,0.0481975987265451,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.0001,0.1,4.152397854231185,-0.0001476915123073,0.5408560311284046,0.214665056012967,0.0744705679968849,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.0001,0.3,4.147160732336255,0.0011137231105823,0.5525291828793775,0.1727542928619116,0.055958814939416,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.001,0.1,4.150658685542583,0.0002712051373198,0.5330739299610895,0.2074974047467639,0.0704946044890101,257
reg,m3_deep_gated,42,4,32,2,2,meanpool,0.0003,0.001,0.3,4.152941252966083,-0.0002785746813478,0.5486381322957199,0.2278727936050488,0.0675278751269855,257
