site_id,site_name,site_type,month,year,filename,file_exists,excluded,pixel_valid,valid_mask,n_scenes,mean_cloud,patch_px,crs,exclude_reason
P001,Rotterdam,port,2024_09,2024,S2_P001_Rotterdam_2024_09.tif,1,0,1,1,3,36.256088999999996,640,EPSG:32631,
P001,Rotterdam,port,2024_10,2024,S2_P001_Rotterdam_2024_10.tif,1,0,1,1,2,34.688111,640,EPSG:32631,
P001,Rotterdam,port,2025_01,2025,S2_P001_Rotterdam_2025_01.tif,1,0,1,1,1,59.870398,640,EPSG:32631,
P001,Rotterdam,port,2025_02,2025,S2_P001_Rotterdam_2025_02.tif,1,0,1,1,4,34.68650575,640,EPSG:32631,
P001,Rotterdam,port,2025_03,2025,S2_P001_Rotterdam_2025_03.tif,1,0,1,1,7,37.29462171428572,640,EPSG:32631,
P001,Rotterdam,port,2025_04,2025,S2_P001_Rotterdam_2025_04.tif,1,0,1,1,5,13.305567399999997,640,EPSG:32631,
P001,Rotterdam,port,2025_05,2025,S2_P001_Rotterdam_2025_05.tif,1,0,1,1,4,29.707754,640,EPSG:32631,
P001,Rotterdam,port,2025_06,2025,S2_P001_Rotterdam_2025_06.tif,1,0,1,1,3,24.434963,640,EPSG:32631,
P001,Rotterdam,port,2025_07,2025,S2_P001_Rotterdam_2025_07.tif,1,0,1,1,4,38.058198749999995,640,EPSG:32631,
P001,Rotterdam,port,2025_08,2025,S2_P001_Rotterdam_2025_08.tif,1,0,1,1,2,34.1098975,640,EPSG:32631,
P001,Rotterdam,port,2025_09,2025,S2_P001_Rotterdam_2025_09.tif,1,0,1,1,2,25.4404015,640,EPSG:32631,
P001,Rotterdam,port,2025_10,2025,S2_P001_Rotterdam_2025_10.tif,1,0,1,1,1,48.387808,640,EPSG:32631,
P001,Rotterdam,port,2025_12,2025,S2_P001_Rotterdam_2025_12.tif,1,0,1,1,3,24.681045333333334,640,EPSG:32631,
P001,Rotterdam,port,2026_01,2026,S2_P001_Rotterdam_2026_01.tif,1,0,1,1,3,15.392249,640,EPSG:32631,
P001,Rotterdam,port,2026_03,2026,S2_P001_Rotterdam_2026_03.tif,1,0,1,1,3,2.3213856666666666,640,EPSG:32631,
